FileName,EmoClass,EmoAct,EmoVal,EmoDom,SpkrID,Gender,Split_Set,Path
MSP-PODCAST_0001_0049.wav,X,4.2,4.0,4.0,Unknown,Unknown,Train,Podcast Data/Audios/MSP-PODCAST_0001_0049.wav
MSP-PODCAST_0001_0066.wav,N,3.833333,4.5,4.0,Unknown,Unknown,Train,Podcast Data/Audios/MSP-PODCAST_0001_0066.wav
MSP-PODCAST_0001_0087.wav,N,4.0,3.333333,4.166667,Unknown,Unknown,Train,Podcast Data/Audios/MSP-PODCAST_0001_0087.wav
MSP-PODCAST_0001_0179.wav,F,4.333333,2.666667,4.5,Unknown,Unknown,Train,Podcast Data/Audios/MSP-PODCAST_0001_0179.wav
MSP-PODCAST_0003_0052.wav,N,3.0,4.0,4.0,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0052.wav
MSP-PODCAST_0003_0084.wav,N,2.2,4.0,3.6,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0084.wav
MSP-PODCAST_0003_0085.wav,X,4.0,3.0,3.8,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0085.wav
MSP-PODCAST_0003_0086.wav,N,2.4,4.0,3.6,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0086.wav
MSP-PODCAST_0003_0106.wav,S,3.0,3.0,3.0,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0106.wav
MSP-PODCAST_0003_0113.wav,N,4.4,3.8,4.2,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0113.wav
MSP-PODCAST_0003_0114.wav,X,4.333333,3.5,5.0,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0114.wav
MSP-PODCAST_0003_0115.wav,N,3.0,3.0,3.8,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0115.wav
MSP-PODCAST_0003_0126.wav,D,2.4,3.0,4.2,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0126.wav
MSP-PODCAST_0003_0127.wav,X,4.4,3.6,5.0,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0127.wav
MSP-PODCAST_0003_0129.wav,N,3.5,4.333333,4.0,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0129.wav
MSP-PODCAST_0003_0190.wav,D,4.4,2.4,4.6,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0190.wav
MSP-PODCAST_0003_0195.wav,D,3.869565,2.304348,5.0,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0195.wav
MSP-PODCAST_0003_0223.wav,H,4.894737,5.578947,5.105263,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0223.wav
MSP-PODCAST_0003_0251.wav,O,4.4,3.8,4.0,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0251.wav
MSP-PODCAST_0003_0283.wav,D,4.6,2.2,5.0,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0283.wav
MSP-PODCAST_0003_0285.wav,A,5.4,3.6,5.4,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0285.wav
MSP-PODCAST_0003_0303.wav,N,4.8,4.0,4.8,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0303.wav
MSP-PODCAST_0003_0304.wav,C,3.857143,2.428571,5.357143,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0304.wav
MSP-PODCAST_0003_0305.wav,X,5.263158,2.263158,4.736842,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0305.wav
MSP-PODCAST_0003_0307.wav,N,4.6,4.0,3.8,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0307.wav
MSP-PODCAST_0003_0348.wav,S,3.0,2.6,3.6,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0348.wav
MSP-PODCAST_0003_0349.wav,X,4.0,3.0,3.4,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0349.wav
MSP-PODCAST_0003_0373.wav,N,3.6,5.0,5.0,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0373.wav
MSP-PODCAST_0003_0374.wav,N,3.6,3.6,3.2,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0374.wav
MSP-PODCAST_0003_0396.wav,X,4.4,2.6,5.0,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0396.wav
MSP-PODCAST_0003_0398.wav,F,3.4,2.2,4.4,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0398.wav
MSP-PODCAST_0003_0404.wav,N,4.8,2.8,4.8,3,Male,Train,Podcast Data/Audios/MSP-PODCAST_0003_0404.wav
