FileName                      ,EmoClass
MSP-PODCAST_0001_0049.wav     ,surprise
MSP-PODCAST_0001_0066.wav     ,neutral
MSP-PODCAST_0001_0087.wav     ,neutral
MSP-PODCAST_0001_0179.wav     ,fear
MSP-PODCAST_0003_0052.wav     ,neutral
MSP-PODCAST_0003_0084.wav     ,neutral
MSP-PODCAST_0003_0085.wav     ,surprise
MSP-PODCAST_0003_0086.wav     ,neutral
MSP-PODCAST_0003_0106.wav     ,sadness
MSP-PODCAST_0003_0113.wav     ,neutral
MSP-PODCAST_0003_0114.wav     ,surprise
MSP-PODCAST_0003_0115.wav     ,neutral
MSP-PODCAST_0003_0126.wav     ,disgust
MSP-PODCAST_0003_0127.wav     ,surprise
MSP-PODCAST_0003_0129.wav     ,neutral
MSP-PODCAST_0003_0190.wav     ,disgust
MSP-PODCAST_0003_0195.wav     ,disgust
MSP-PODCAST_0003_0223.wav     ,joy
MSP-PODCAST_0003_0251.wav     ,anger
MSP-PODCAST_0003_0283.wav     ,disgust
MSP-PODCAST_0003_0303.wav     ,neutral
MSP-PODCAST_0003_0305.wav     ,surprise
MSP-PODCAST_0003_0307.wav     ,neutral
MSP-PODCAST_0003_0348.wav     ,sadness
MSP-PODCAST_0003_0349.wav     ,surprise
MSP-PODCAST_0003_0373.wav     ,neutral
MSP-PODCAST_0003_0374.wav     ,neutral
MSP-PODCAST_0003_0396.wav     ,surprise
MSP-PODCAST_0003_0398.wav     ,fear
MSP-PODCAST_0003_0404.wav     ,neutral
MSP-PODCAST_0003_0434.wav     ,neutral
MSP-PODCAST_0003_0444.wav     ,surprise
MSP-PODCAST_0003_0482.wav     ,surprise
MSP-PODCAST_0003_0540.wav     ,joy
MSP-PODCAST_0003_0541.wav     ,neutral
MSP-PODCAST_0003_0543.wav     ,anger
MSP-PODCAST_0003_0544.wav     ,sadness
MSP-PODCAST_0003_0547.wav     ,neutral
MSP-PODCAST_0003_0548.wav     ,surprise
MSP-PODCAST_0003_0552.wav     ,surprise
MSP-PODCAST_0003_0554.wav     ,neutral
MSP-PODCAST_0003_0555.wav     ,surprise
MSP-PODCAST_0003_0556.wav     ,surprise
MSP-PODCAST_0003_0575.wav     ,neutral
MSP-PODCAST_0003_0583.wav     ,neutral
MSP-PODCAST_0003_0584.wav     ,neutral
MSP-PODCAST_0003_0588.wav     ,sadness
MSP-PODCAST_0003_0591.wav     ,sadness
MSP-PODCAST_0003_0594.wav     ,neutral
MSP-PODCAST_0003_0600.wav     ,surprise
MSP-PODCAST_0003_0605.wav     ,neutral
MSP-PODCAST_0003_0613.wav     ,anger
MSP-PODCAST_0003_0618.wav     ,surprise
MSP-PODCAST_0003_0631.wav     ,neutral
MSP-PODCAST_0003_0635.wav     ,neutral
MSP-PODCAST_0004_0001.wav     ,surprise
MSP-PODCAST_0004_0029.wav     ,surprise
MSP-PODCAST_0004_0036.wav     ,surprise
MSP-PODCAST_0004_0065.wav     ,surprise
MSP-PODCAST_0004_0073.wav     ,surprise
MSP-PODCAST_0004_0076.wav     ,disgust
MSP-PODCAST_0004_0104.wav     ,surprise
MSP-PODCAST_0004_0114.wav     ,disgust
MSP-PODCAST_0005_0044.wav     ,surprise
MSP-PODCAST_0005_0055.wav     ,surprise
MSP-PODCAST_0005_0058.wav     ,joy
MSP-PODCAST_0005_0066.wav     ,surprise
MSP-PODCAST_0005_0083.wav     ,surprise
MSP-PODCAST_0005_0110.wav     ,surprise
MSP-PODCAST_0005_0131.wav     ,neutral
MSP-PODCAST_0005_0154.wav     ,disgust
MSP-PODCAST_0005_0182.wav     ,disgust
MSP-PODCAST_0005_0183.wav     ,disgust
MSP-PODCAST_0005_0187.wav     ,surprise
MSP-PODCAST_0006_0070.wav     ,neutral
MSP-PODCAST_0006_0110.wav     ,surprise
MSP-PODCAST_0006_0237.wav     ,neutral
MSP-PODCAST_0007_0004.wav     ,neutral
MSP-PODCAST_0007_0017.wav     ,neutral
MSP-PODCAST_0008_0067.wav     ,joy
MSP-PODCAST_0008_0094.wav     ,neutral
MSP-PODCAST_0008_0115.wav     ,neutral
MSP-PODCAST_0008_0128.wav     ,neutral
MSP-PODCAST_0008_0196.wav     ,anger
MSP-PODCAST_0009_0223.wav     ,neutral
MSP-PODCAST_0009_0237.wav     ,joy
MSP-PODCAST_0009_0256.wav     ,joy
MSP-PODCAST_0009_0334.wav     ,neutral
MSP-PODCAST_0009_0380.wav     ,surprise
MSP-PODCAST_0010_0001.wav     ,neutral
MSP-PODCAST_0010_0018.wav     ,neutral
MSP-PODCAST_0010_0052.wav     ,joy
MSP-PODCAST_0011_0006.wav     ,surprise
MSP-PODCAST_0011_0009.wav     ,joy
MSP-PODCAST_0011_0030.wav     ,disgust
MSP-PODCAST_0011_0055.wav     ,joy
MSP-PODCAST_0011_0060.wav     ,neutral
MSP-PODCAST_0011_0084.wav     ,surprise
MSP-PODCAST_0011_0119.wav     ,surprise
MSP-PODCAST_0011_0156.wav     ,neutral
MSP-PODCAST_0011_0191.wav     ,neutral
MSP-PODCAST_0011_0200.wav     ,neutral
MSP-PODCAST_0011_0230.wav     ,neutral
MSP-PODCAST_0011_0274.wav     ,joy
MSP-PODCAST_0011_0370.wav     ,joy
MSP-PODCAST_0011_0378.wav     ,surprise
MSP-PODCAST_0011_0384.wav     ,neutral
MSP-PODCAST_0011_0396.wav     ,neutral
MSP-PODCAST_0011_0475.wav     ,surprise
MSP-PODCAST_0012_0067.wav     ,neutral
MSP-PODCAST_0012_0069.wav     ,neutral
MSP-PODCAST_0012_0073.wav     ,neutral
MSP-PODCAST_0012_0082.wav     ,neutral
MSP-PODCAST_0012_0105.wav     ,neutral
MSP-PODCAST_0012_0159.wav     ,neutral
MSP-PODCAST_0012_0223.wav     ,neutral
MSP-PODCAST_0012_0226.wav     ,neutral
MSP-PODCAST_0012_0254.wav     ,surprise
MSP-PODCAST_0013_0056.wav     ,neutral
MSP-PODCAST_0013_0216.wav     ,surprise
MSP-PODCAST_0013_0234.wav     ,disgust
MSP-PODCAST_0013_0280.wav     ,joy
MSP-PODCAST_0013_0399.wav     ,surprise
MSP-PODCAST_0013_0432.wav     ,fear
MSP-PODCAST_0013_0481.wav     ,neutral
MSP-PODCAST_0013_0500.wav     ,disgust
MSP-PODCAST_0013_0504.wav     ,disgust
MSP-PODCAST_0013_0563.wav     ,surprise
MSP-PODCAST_0014_0004.wav     ,neutral
MSP-PODCAST_0014_0038.wav     ,neutral
MSP-PODCAST_0014_0094.wav     ,neutral
MSP-PODCAST_0014_0110.wav     ,neutral
MSP-PODCAST_0014_0130.wav     ,disgust
MSP-PODCAST_0014_0245.wav     ,neutral
MSP-PODCAST_0014_0251.wav     ,surprise
MSP-PODCAST_0014_0252.wav     ,neutral
MSP-PODCAST_0014_0284.wav     ,disgust
MSP-PODCAST_0014_0286.wav     ,neutral
MSP-PODCAST_0014_0361.wav     ,neutral
MSP-PODCAST_0014_0380.wav     ,neutral
MSP-PODCAST_0014_0391.wav     ,surprise
MSP-PODCAST_0014_0411.wav     ,neutral
MSP-PODCAST_0014_0413.wav     ,neutral
MSP-PODCAST_0014_0420.wav     ,surprise
MSP-PODCAST_0014_0425.wav     ,neutral
MSP-PODCAST_0014_0428.wav     ,neutral
MSP-PODCAST_0014_0429.wav     ,neutral
MSP-PODCAST_0014_0434.wav     ,neutral
MSP-PODCAST_0014_0438.wav     ,anger
MSP-PODCAST_0014_0457.wav     ,neutral
MSP-PODCAST_0014_0505.wav     ,neutral
MSP-PODCAST_0014_0526.wav     ,neutral
MSP-PODCAST_0014_0597.wav     ,neutral
MSP-PODCAST_0014_0650.wav     ,joy
MSP-PODCAST_0015_0397.wav     ,neutral
MSP-PODCAST_0016_0003.wav     ,joy
MSP-PODCAST_0016_0098.wav     ,sadness
MSP-PODCAST_0016_0103.wav     ,disgust
MSP-PODCAST_0016_0292.wav     ,joy
MSP-PODCAST_0016_0297.wav     ,surprise
MSP-PODCAST_0016_0307.wav     ,joy
MSP-PODCAST_0016_0352.wav     ,neutral
MSP-PODCAST_0016_0367.wav     ,disgust
MSP-PODCAST_0016_0398.wav     ,surprise
MSP-PODCAST_0016_0402.wav     ,neutral
MSP-PODCAST_0016_0497.wav     ,surprise
MSP-PODCAST_0018_0127.wav     ,neutral
MSP-PODCAST_0018_0142.wav     ,neutral
MSP-PODCAST_0018_0204.wav     ,neutral
MSP-PODCAST_0019_0039.wav     ,neutral
MSP-PODCAST_0019_0045.wav     ,surprise
MSP-PODCAST_0019_0071.wav     ,neutral
MSP-PODCAST_0019_0087.wav     ,surprise
MSP-PODCAST_0019_0269.wav     ,surprise
MSP-PODCAST_0020_0266.wav     ,neutral
MSP-PODCAST_0020_0360.wav     ,neutral
MSP-PODCAST_0020_0438.wav     ,joy
MSP-PODCAST_0020_0460.wav     ,neutral
MSP-PODCAST_0021_0003.wav     ,neutral
MSP-PODCAST_0021_0004.wav     ,neutral
MSP-PODCAST_0021_0006.wav     ,neutral
MSP-PODCAST_0021_0009.wav     ,neutral
MSP-PODCAST_0021_0010.wav     ,disgust
MSP-PODCAST_0021_0013.wav     ,neutral
MSP-PODCAST_0021_0015.wav     ,neutral
MSP-PODCAST_0021_0040.wav     ,joy
MSP-PODCAST_0021_0048.wav     ,neutral
MSP-PODCAST_0021_0051.wav     ,neutral
MSP-PODCAST_0021_0054.wav     ,joy
MSP-PODCAST_0022_0053.wav     ,neutral
